date_of_contract,municipality_name,zone_name,real_estate_type,area_in_square_meters,price_per_square_foot,real_estate_value,district_translated,latitude,longitude
2025-03-06,Doha,Al Thumama 50,Vacant Land,731,171.0,1344828,Al Thumama,25.277967458892473,51.52339248614074
2025-03-06,Doha,Nuaija 44,Residence,2672,450.0,12942954,Nuaija,25.277967458892473,51.52339248614074
2025-03-06,Al Daayen,Umm Qarn,Residence,352,475.0,1800000,Umm Qarn,25.506442965229745,51.466419091145966
2025-03-06,Al Daayen,Umm Qarn,Residence,353,474.0,1800000,Umm Qarn,25.506442965229745,51.466419091145966
2025-03-05,Umm Salal,Al Kharaitiyat,Residence,885,289.0,2750000,Al Kharaitiyat,25.468814293441394,51.34446945529472
2025-03-05,Doha,Al Markhiya,Residence,563,710.0,4300000,Al Markhiya,25.277967458892473,51.52339248614074
2025-03-05,Al Rayyan,Muaither 53,Commercial Residential Building and  Shops,279,1798.0,5400000,Muaither,24.928100723590358,51.08167176463156
2025-03-05,Al Rayyan,Al Aziziya,Vacant Land,1306,198.0,2780000,Al Aziziya,24.928100723590358,51.08167176463156
2025-03-05,Al Rayyan,Ain Khalid,Vacant Land,828,247.0,2200000,Ain Khalid,24.928100723590358,51.08167176463156
2025-03-05,Al Wakrah,Al Wakrah,Residence,2225,400.0,9579960,Al Wakrah,,
2025-03-05,Al Wakrah,Al Wukair,Vacant Land,387,184.0,764877,Al Wukair,,
2025-03-05,Al Daayen,Lusail 69,Residential Unit,115,1121.03,1392251,Lusail,25.506442965229745,51.466419091145966
2025-03-05,Al Wakrah,Al Mashaf,Residence,700,398.0,3000000,Al Mashaf,,
2025-03-05,Umm Salal,Izghawa 71,Residence,620,727.0,4850000,Izghawa,25.468814293441394,51.34446945529472
2025-03-05,Doha,Al Thumama 50,Residence,454,532.0,2600000,Al Thumama,25.277967458892473,51.52339248614074
2025-03-05,Al Rayyan,Muraikh  South,Residence,2900,384.0,12000000,Muraikh  South,24.928100723590358,51.08167176463156
2025-03-05,Al Rayyan,Al Maamoura 56,Vacant Land,450,382.0,1850000,Al Maamoura,24.928100723590358,51.08167176463156
2025-03-05,Al Shamal,Al Ruwais,Vacant Land,580,130.0,811000,Al Ruwais,25.995427919236633,51.2017975520098
2025-03-05,Al Shamal,Al Ruwais,Vacant Land,504,141.0,764000,Al Ruwais,25.995427919236633,51.2017975520098
2025-03-05,Doha,The Pearl Island,Residential Unit,124,1115.55,1500000,The Pearl Island,25.277967458892473,51.52339248614074
2025-03-04,Umm Salal,Al Kharaitiyat,Residence,600,643.0,4150000,Al Kharaitiyat,25.468814293441394,51.34446945529472
2025-03-04,Al Rayyan,New Al Rayyan,Vacant Land,752,272.0,2200000,New Al Rayyan,24.928100723590358,51.08167176463156
2025-03-04,Al Shamal,Aba Al Dalouf,Vacant Land,1103,160.0,1900000,Aba Al Dalouf,25.995427919236633,51.2017975520098
2025-03-04,Al Daayen,Rawdat Al Hamama,Residence,1278,331.0,4550000,Rawdat Al Hamama,25.506442965229745,51.466419091145966
2025-03-04,Al Wakrah,Al Wukair,Vacant Land,1937,201.0,4200000,Al Wukair,,
2025-03-04,Al Daayen,Lusail 69,Residential Unit,120,1165.03,1508098,Lusail,25.506442965229745,51.466419091145966
2025-03-04,Al Daayen,Lusail 69,Residential Unit,85,1138.83,1042194,Lusail,25.506442965229745,51.466419091145966
2025-03-04,Doha,The Pearl Island,Residential Unit,115,1562.07,1940000,The Pearl Island,25.277967458892473,51.52339248614074
2025-03-04,Doha,Nuaija 43,Residence,446,333.0,1600000,Nuaija,25.277967458892473,51.52339248614074
2025-03-04,Doha,Nuaija 43,Residence,458,325.0,1600000,Nuaija,25.277967458892473,51.52339248614074
2025-03-04,Al Rayyan,Al Aziziya,Residence,383,546.0,2250000,Al Aziziya,24.928100723590358,51.08167176463156
2025-03-04,Al Rayyan,Al Gharrafa,Vacant Land,850,284.0,2600000,Al Gharrafa,24.928100723590358,51.08167176463156
2025-03-04,Al Daayen,Al Sakhama,Vacant Land,600,294.0,1900000,Al Sakhama,25.506442965229745,51.466419091145966
2025-03-04,Al Wakrah,Al Wakrah,Residence,284,393.0,1200000,Al Wakrah,,
2025-03-04,Al Daayen,Lusail 69,Residential Unit,115,1094.27,1358187,Lusail,25.506442965229745,51.466419091145966
2025-03-04,Al Daayen,Lusail 69,Residential Unit,112,1122.92,1362328,Lusail,25.506442965229745,51.466419091145966
2025-03-04,Doha,The Pearl Island,Residential Unit,118,1547.51,1966390,The Pearl Island,25.277967458892473,51.52339248614074
2025-03-04,Doha,The Pearl Island,Residential Unit,171,1118.2,2060000,The Pearl Island,25.277967458892473,51.52339248614074
2025-03-04,Doha,The Pearl Island,Residential Unit,188,1283.78,2600500,The Pearl Island,25.277967458892473,51.52339248614074
2025-03-04,Al Rayyan,Al Gharrafa,Residence,595,344.0,2200000,Al Gharrafa,24.928100723590358,51.08167176463156
2025-03-04,Al Shamal,Al Ruwais,Vacant Land,806,127.0,1100000,Al Ruwais,25.995427919236633,51.2017975520098
2025-03-04,Al Daayen,Al Ebb,Vacant Land,552,430.0,2555000,Al Ebb,25.506442965229745,51.466419091145966
2025-03-04,Doha,The Pearl Island,Residential Unit,286,1548.49,4779818,The Pearl Island,25.277967458892473,51.52339248614074
2025-03-03,Doha,Hazm Al Markhiya,Residence,887,305.0,2913825,Hazm Al Markhiya,25.277967458892473,51.52339248614074
2025-03-03,Al Rayyan,Bu Hamour,Residence,450,467.0,2260000,Bu Hamour,24.928100723590358,51.08167176463156
2025-03-03,Al Rayyan,Muraikh,Vacant Land,696,175.0,1311087,Muraikh,24.928100723590358,51.08167176463156
2025-03-03,Al Daayen,Umm Qarn,Residence,354,525.0,2000000,Umm Qarn,25.506442965229745,51.466419091145966
2025-03-03,Doha,Legtaifiya,Residential Unit,107,1142.68,1320000,Legtaifiya,25.277967458892473,51.52339248614074
2025-03-03,Al Khor,Al Khor,Vacant Land,454,245.0,1197000,Al Khor,,
2025-03-03,Al Rayyan,Al Mearad,Residence,900,289.0,2800000,Al Mearad,24.928100723590358,51.08167176463156
2025-03-03,Al Shamal,Al Ruwais,Vacant Land,555,155.0,925000,Al Ruwais,25.995427919236633,51.2017975520098
2025-03-03,Al Daayen,Umm Qarn,Residence,469,594.0,3000000,Umm Qarn,25.506442965229745,51.466419091145966
2025-03-03,Doha,The Pearl Island,Residential Unit,408,1639.22,7200000,The Pearl Island,25.277967458892473,51.52339248614074
2025-03-03,Al Rayyan,Al Gharrafa,Vacant Land,660,200.0,1422304,Al Gharrafa,24.928100723590358,51.08167176463156
2025-03-02,Al Rayyan,Muaither 55,Vacant Land,1020,328.0,3600000,Muaither,24.928100723590358,51.08167176463156
2025-03-02,Al Wakrah,Al Wukair,Vacant Land,1851,151.0,3000000,Al Wukair,,
2025-03-02,Doha,The Pearl Island,Residential Unit,87,1589.35,1500000,The Pearl Island,25.277967458892473,51.52339248614074
2025-03-02,Doha,The Pearl Island,Residential Unit,182,1529.18,3000000,The Pearl Island,25.277967458892473,51.52339248614074
2025-03-02,Doha,The Pearl Island,Residential Unit,125,1406.61,1900000,The Pearl Island,25.277967458892473,51.52339248614074
2025-03-02,Doha,The Pearl Island,Residential Unit,115,1270.71,1575000,The Pearl Island,25.277967458892473,51.52339248614074
2025-02-27,Al Khor,Al Khor,Residence,600,356.0,2300000,Al Khor,,
2025-02-27,Doha,Al Thumama 47,Vacant Land,399,365.0,1567500,Al Thumama,25.277967458892473,51.52339248614074
2025-02-27,Doha,Nuaija 43,Residence,446,326.0,1565581,Nuaija,25.277967458892473,51.52339248614074
2025-02-27,Doha,Old Al Ghanim 16,Residence,247,1693.0,4500000,Old Al Ghanim,25.277967458892473,51.52339248614074
2025-02-27,Doha,Madinat Khalifa South,Residential Building,376,692.0,2800000,Madinat Khalifa South,25.277967458892473,51.52339248614074
2025-02-27,Al Rayyan,Ain Khalid,Vacant Land,596,390.0,2500000,Ain Khalid,24.928100723590358,51.08167176463156
2025-02-27,Al Rayyan,Luaib,Residence,942,252.0,2555000,Luaib,24.928100723590358,51.08167176463156
2025-02-27,Al Wakrah,Al Wakrah,Vacant Land,503,342.0,1850000,Al Wakrah,,
2025-02-27,Al Wakrah,Muaither  Al Wukair,Vacant Land,998,225.0,2417000,Muaither  Al Wukair,,
2025-02-27,Doha,The Pearl Island,Residential Unit,327,1388.18,4900000,The Pearl Island,25.277967458892473,51.52339248614074
2025-02-27,Doha,Ghar Thaileb,Residential Unit,183,1046.07,2070000,Ghar Thaileb,25.277967458892473,51.52339248614074
2025-02-27,Doha,Ghar Thaileb,Residential Unit,130,1171.01,1641000,Ghar Thaileb,25.277967458892473,51.52339248614074
2025-02-27,Doha,The Pearl Island,Residential Unit,141,1416.51,2150000,The Pearl Island,25.277967458892473,51.52339248614074
2025-02-27,Doha,Al Thumama 47,Vacant Land,434,375.0,1750000,Al Thumama,25.277967458892473,51.52339248614074
2025-02-27,Doha,Al Thumama 46,Vacant Land,755,370.0,3000000,Al Thumama,25.277967458892473,51.52339248614074
2025-02-27,Doha,Al Maamoura 43,Residence,398,654.0,2800000,Al Maamoura,25.277967458892473,51.52339248614074
2025-02-27,Doha,Al Mansoura,Residential Building,188,1384.0,2800000,Al Mansoura,25.277967458892473,51.52339248614074
2025-02-27,Al Rayyan,Muaither 55,Residence,780,292.0,2450000,Muaither,24.928100723590358,51.08167176463156
2025-02-27,Al Rayyan,Bu Hamour,Vacant Land,450,360.0,1743768,Bu Hamour,24.928100723590358,51.08167176463156
2025-02-27,Al Rayyan,Bu Hamour,Vacant Land,420,360.0,1627517,Bu Hamour,24.928100723590358,51.08167176463156
2025-02-27,Al Rayyan,Bu Hamour,Vacant Land,470,360.0,1821269,Bu Hamour,24.928100723590358,51.08167176463156
2025-02-27,Al Daayen,Al Kheesa,Commercial Market,17762,497.0,95000000,Al Kheesa,25.506442965229745,51.466419091145966
2025-02-27,Al Wakrah,Al Wakrah,Residence,523,320.0,1800000,Al Wakrah,,
2025-02-27,Al Wakrah,Al Wukair,Residence,728,447.0,3500000,Al Wukair,,
2025-02-27,Doha,The Pearl Island,Residential Unit,183,1444.64,2850000,The Pearl Island,25.277967458892473,51.52339248614074
2025-02-27,Doha,Hazm Al Markhiya,Residence,1383,605.0,9000000,Hazm Al Markhiya,25.277967458892473,51.52339248614074
2025-02-27,Doha,Al Thumama 47,Vacant Land,434,365.0,1705000,Al Thumama,25.277967458892473,51.52339248614074
2025-02-27,Doha,New Slata,Residence,804,315.0,2730000,New Slata,25.277967458892473,51.52339248614074
2025-02-27,Doha,Najma,Residential Building,288,2161.0,6700000,Najma,25.277967458892473,51.52339248614074
2025-02-27,Doha,Fereej Abdel Aziz,Residence,480,1026.0,5300000,Fereej Abdel Aziz,25.277967458892473,51.52339248614074
2025-02-27,Doha,Nuaija 43,Residence,458,322.0,1588013,Nuaija,25.277967458892473,51.52339248614074
2025-02-27,Doha,Al Thumama 46,Residence,420,476.0,2150000,Al Thumama,25.277967458892473,51.52339248614074
2025-02-27,Doha,Al Thumama 47,Vacant Land,398,366.0,1567500,Al Thumama,25.277967458892473,51.52339248614074
2025-02-27,Al Rayyan,Muraikh,Residence,369,395.0,1570000,Muraikh,24.928100723590358,51.08167176463156
2025-02-27,Al Rayyan,Muraikh,Vacant Land,5370,277.0,16000000,Muraikh,24.928100723590358,51.08167176463156
2025-02-27,Al Shamal,Aba Al Dalouf,Vacant Land,600,136.0,880000,Aba Al Dalouf,25.995427919236633,51.2017975520098
2025-02-27,Al Wakrah,Al Wukair,Vacant Land,466,279.0,1400000,Al Wukair,,
2025-02-27,Al Wakrah,Al Wukair,Vacant Land,566,265.0,1614493,Al Wukair,,
2025-02-27,Doha,Ghar Thaileb,Residential Unit,95,1221.13,1252500,Ghar Thaileb,25.277967458892473,51.52339248614074
2025-02-27,Al Daayen,Lusail 69,Residential Unit,153,966.89,1595000,Lusail,25.506442965229745,51.466419091145966
2025-02-27,Doha,The Pearl Island,Residential Unit,255,1010.85,2775000,The Pearl Island,25.277967458892473,51.52339248614074
2025-02-27,Doha,The Pearl Island,Residential Unit,176,1555.24,2950000,The Pearl Island,25.277967458892473,51.52339248614074
2025-02-27,Umm Salal,Umm Al Amad,Residential Unit,367,455.13,1800000,Umm Al Amad,25.468814293441394,51.34446945529472
2025-02-26,Umm Salal,Al Kharaitiyat,Residence,629,347.0,2350000,Al Kharaitiyat,25.468814293441394,51.34446945529472
2025-02-26,Al Rayyan,Gharrafat Al Rayyan,Residence,371,751.0,3000000,Gharrafat Al Rayyan,24.928100723590358,51.08167176463156
2025-02-26,Al Shamal,Madinat Al Shamal,Residence,714,143.0,1100000,Madinat Al Shamal,25.995427919236633,51.2017975520098
2025-02-26,Al Wakrah,Al Wakrah,Vacant Land,400,340.0,1463500,Al Wakrah,,
2025-02-26,Doha,The Pearl Island,Residential Unit,734,1037.4,8200000,The Pearl Island,25.277967458892473,51.52339248614074
2025-02-26,Doha,Duhail,Residence,1328,390.0,5570000,Duhail,25.277967458892473,51.52339248614074
2025-02-26,Doha,Nuaija 41,Residence,920,424.0,4200000,Nuaija,25.277967458892473,51.52339248614074
2025-02-26,Al Daayen,Lusail 69,Residential Unit,120,2991.81,3867000,Lusail,25.506442965229745,51.466419091145966
2025-02-26,Doha,The Pearl Island,Residential Unit,740,959.31,7650000,The Pearl Island,25.277967458892473,51.52339248614074
2025-02-26,Al Daayen,Ghar Thaileb,Residential Unit,97,1616.37,1696000,Ghar Thaileb,25.506442965229745,51.466419091145966
2025-02-26,Al Khor,Al Khor,Residence,720,226.0,1750000,Al Khor,,
2025-02-26,Doha,New Slata,Residence,893,291.0,2800000,New Slata,25.277967458892473,51.52339248614074
2025-02-26,Doha,Fereej Bin Mahmoud 23,Residence,130,763.0,1067000,Fereej Bin Mahmoud,25.277967458892473,51.52339248614074
2025-02-26,Doha,Onaiza 66,Residence,875,244.0,2300000,Onaiza,25.277967458892473,51.52339248614074
2025-02-26,Al Rayyan,Old Al Rayyan,Residence,523,202.0,1135488,Old Al Rayyan,24.928100723590358,51.08167176463156
2025-02-26,Al Shamal,Aba Al Dalouf,Vacant Land,800,144.0,1240000,Aba Al Dalouf,25.995427919236633,51.2017975520098
2025-02-26,Al Shamal,Aba Al Dalouf,Vacant Land,555,167.0,1000000,Aba Al Dalouf,25.995427919236633,51.2017975520098
2025-02-26,Al Daayen,Lusail 69,Residential Unit,117,1044.63,1322100,Lusail,25.506442965229745,51.466419091145966
2025-02-26,Doha,Ghar Thaileb,Residential Unit,183,1073.86,2125000,Ghar Thaileb,25.277967458892473,51.52339248614074
2025-02-25,Umm Salal,Umm Slal Ali,Vacant Land,450,264.0,1280000,Umm Slal Ali,25.468814293441394,51.34446945529472
2025-02-25,Doha,Al Thumama 46,Vacant Land,426,375.0,1719550,Al Thumama,25.277967458892473,51.52339248614074
2025-02-25,Doha,Old Airport,Residence,1487,656.0,10500000,Old Airport,25.277967458892473,51.52339248614074
2025-02-25,Doha,Al Mansoura,Residence,163,798.0,1400000,Al Mansoura,25.277967458892473,51.52339248614074
2025-02-25,Al Daayen,Al Ebb,Residence,1100,532.0,6300000,Al Ebb,25.506442965229745,51.466419091145966
2025-02-25,Al Daayen,Ghar Thaileb,Residential Unit,105,966.82,1100000,Ghar Thaileb,25.506442965229745,51.466419091145966
2025-02-25,Doha,The Pearl Island,Residential Unit,152,941.24,1550000,The Pearl Island,25.277967458892473,51.52339248614074
2025-02-25,Doha,Ghar Thaileb,Residential Unit,92,1431.14,1418000,Ghar Thaileb,25.277967458892473,51.52339248614074
2025-02-25,Al Rayyan,Bu Hamour,Residence,720,513.0,3976000,Bu Hamour,24.928100723590358,51.08167176463156
2025-02-25,Al Daayen,Umm Qarn,Residence,400,602.0,2590000,Umm Qarn,25.506442965229745,51.466419091145966
2025-02-25,Al Wakrah,Al Wukair,Vacant Land,759,220.0,1800000,Al Wukair,,
2025-02-25,Doha,The Pearl Island,Residential Unit,327,1523.04,5375399,The Pearl Island,25.277967458892473,51.52339248614074
2025-02-25,Al Daayen,Lusail 69,Residential Unit,122,902.77,1195000,Lusail,25.506442965229745,51.466419091145966
2025-02-25,Al Daayen,Lusail 69,Residential Unit,152,906.35,1484548,Lusail,25.506442965229745,51.466419091145966
2025-02-25,Al Daayen,Lusail 69,Residential Unit,120,2697.14,3485550,Lusail,25.506442965229745,51.466419091145966
2025-02-25,Doha,Ghar Thaileb,Residential Unit,95,1189.44,1220000,Ghar Thaileb,25.277967458892473,51.52339248614074
2025-02-25,Doha,The Pearl Island,Residential Unit,113,1224.66,1500000,The Pearl Island,25.277967458892473,51.52339248614074
2025-02-25,Al Daayen,Lusail 69,Residential Unit,41,1474.26,663000,Lusail,25.506442965229745,51.466419091145966
2025-02-25,Umm Salal,Umm Slal Ali,Vacant Land,600,229.0,1480000,Umm Slal Ali,25.468814293441394,51.34446945529472
2025-02-25,Al Khor,Al Khor,Residence,767,501.0,4133000,Al Khor,,
2025-02-25,Doha,Duhail,Residence,466,459.0,2300000,Duhail,25.277967458892473,51.52339248614074
2025-02-25,Doha,Umm Lekhba,Residence,900,413.0,4000000,Umm Lekhba,25.277967458892473,51.52339248614074
2025-02-25,Al Rayyan,Al Mearad,Residence,868,274.0,2560000,Al Mearad,24.928100723590358,51.08167176463156
2025-02-25,Al Rayyan,Bu Hamour,Vacant Land,1062,315.0,3600000,Bu Hamour,24.928100723590358,51.08167176463156
2025-02-25,Al Daayen,Al Sakhama,Vacant Land,608,290.0,1898000,Al Sakhama,25.506442965229745,51.466419091145966
2025-02-25,Al Daayen,Rawdat Al Hamama,Vacant Land,930,385.0,3850000,Rawdat Al Hamama,25.506442965229745,51.466419091145966
2025-02-25,Al Wakrah,Al Mashaf,Vacant Land,550,270.0,1598500,Al Mashaf,,
2025-02-25,Al Daayen,Ghar Thaileb,Residential Unit,122,835.66,1100000,Ghar Thaileb,25.506442965229745,51.466419091145966
2025-02-25,Al Daayen,Lusail 69,Residential Unit,120,1547.35,2000000,Lusail,25.506442965229745,51.466419091145966
2025-02-25,Umm Salal,Umm Al Amad,Residential Unit,493,433.19,2300000,Umm Al Amad,25.468814293441394,51.34446945529472
2025-02-24,Al Shamal,Aba Al Dalouf,Residence,600,232.0,1500000,Aba Al Dalouf,25.995427919236633,51.2017975520098
2025-02-24,Al Daayen,Al Sakhama,Residence,595,523.0,3350000,Al Sakhama,25.506442965229745,51.466419091145966
2025-02-24,Al Daayen,Al Ebb,Residence,613,440.0,2903000,Al Ebb,25.506442965229745,51.466419091145966
2025-02-24,Al Daayen,Al Ebb,Residence,630,737.0,5000000,Al Ebb,25.506442965229745,51.466419091145966
2025-02-24,Al Daayen,Lusail 69,Residential Unit,138,740.37,1100000,Lusail,25.506442965229745,51.466419091145966
2025-02-24,Al Daayen,Lusail 69,Residential Unit,112,2584.47,3124080,Lusail,25.506442965229745,51.466419091145966
2025-02-24,Doha,The Pearl Island,Residential Unit,264,1132.45,3220000,The Pearl Island,25.277967458892473,51.52339248614074
2025-02-24,Al Daayen,Lusail 69,Residential Unit,80,893.21,773100,Lusail,25.506442965229745,51.466419091145966
2025-02-24,Al Khor,Al Dakhira,Residence,600,348.0,2250000,Al Dakhira,,
2025-02-24,Doha,Old Airport,Vacant Land,545,597.0,3500000,Old Airport,25.277967458892473,51.52339248614074
2025-02-24,Al Rayyan,Bu Hamour,Residence,1225,379.0,5000000,Bu Hamour,24.928100723590358,51.08167176463156
2025-02-24,Al Rayyan,Izghawa 51,Residence,597,373.0,2400000,Izghawa,24.928100723590358,51.08167176463156
2025-02-24,Al Shamal,Al Ruwais,Residence,480,213.0,1100000,Al Ruwais,25.995427919236633,51.2017975520098
2025-02-24,Al Daayen,Lusail 69,Residential Unit,120,1238.09,1600000,Lusail,25.506442965229745,51.466419091145966
2025-02-24,Umm Salal,Umm Slal Muhammed,Residence,424,504.0,2300000,Umm Slal Muhammed,25.468814293441394,51.34446945529472
2025-02-24,Umm Salal,Umm Slal Ali,Vacant Land,434,274.0,1280000,Umm Slal Ali,25.468814293441394,51.34446945529472
2025-02-24,Al Rayyan,Mebaireek,Residence,1165,215.0,2700000,Mebaireek,24.928100723590358,51.08167176463156
2025-02-24,Al Rayyan,Muaither 53,Residence,744,344.0,2755490,Muaither,24.928100723590358,51.08167176463156
2025-02-24,Al Daayen,Umm Qarn,Vacant Land,417,350.0,1571000,Umm Qarn,25.506442965229745,51.466419091145966
2025-02-24,Al Daayen,Al Kheesa,Vacant Land,568,400.0,2445580,Al Kheesa,25.506442965229745,51.466419091145966
2025-02-24,Al Daayen,Lusail 69,Residential Unit,116,1279.55,1600000,Lusail,25.506442965229745,51.466419091145966
2025-02-23,Umm Salal,Umm Al Amad,Residence,540,516.0,3000000,Umm Al Amad,25.468814293441394,51.34446945529472
2025-02-23,Al Khor,Al Khor,Residence,721,180.0,1400000,Al Khor,,
2025-02-23,Al Rayyan,Al Gharrafa,Residence,343,310.0,1144536,Al Gharrafa,24.928100723590358,51.08167176463156
2025-02-23,Al Rayyan,New Al Rayyan,Residence,823,339.0,3000000,New Al Rayyan,24.928100723590358,51.08167176463156
2025-02-23,Al Rayyan,Muaither 53,Residence,164,397.0,700000,Muaither,24.928100723590358,51.08167176463156
2025-02-23,Al Daayen,Leabaib,Residence,885,388.0,3700000,Leabaib,25.506442965229745,51.466419091145966
2025-02-23,Al Daayen,Umm Qarn,Residence,1589,614.0,10500000,Umm Qarn,25.506442965229745,51.466419091145966
2025-02-23,Al Daayen,Lusail 69,Residential Unit,125,876.63,1182046,Lusail,25.506442965229745,51.466419091145966
2025-02-23,Al Daayen,Lusail 69,Residential Unit,41,918.72,410000,Lusail,25.506442965229745,51.466419091145966
2025-02-23,Umm Salal,Umm Ebairiya,Residence,450,578.0,2800000,Umm Ebairiya,25.468814293441394,51.34446945529472
2025-02-23,Al Khor,Al Dakhira,Vacant Land,600,263.0,1700000,Al Dakhira,,
2025-02-23,Doha,Al Thumama 46,Residence,418,800.0,3600000,Al Thumama,25.277967458892473,51.52339248614074
2025-02-23,Al Rayyan,Al Gharrafa,Residence,404,310.0,1348083,Al Gharrafa,24.928100723590358,51.08167176463156
2025-02-23,Al Rayyan,Muaither 55,Residence,1020,410.0,4500000,Muaither,24.928100723590358,51.08167176463156
2025-02-23,Al Daayen,Umm Qarn,Vacant Land,410,320.0,1412000,Umm Qarn,25.506442965229745,51.466419091145966
2025-02-23,Al Wakrah,Al Wukair,Residence,500,539.0,2900000,Al Wukair,,
2025-02-23,Doha,The Pearl Island,Residential Unit,250,1361.01,3669633,The Pearl Island,25.277967458892473,51.52339248614074
2025-02-23,Umm Salal,Umm Al Amad,Vacant Land,836,222.0,2000000,Umm Al Amad,25.468814293441394,51.34446945529472
2025-02-23,Al Khor,Al Khor,Vacant Land,413,277.0,1230000,Al Khor,,
2025-02-23,Al Khor,Al Khor,Vacant Land,445,230.0,1101667,Al Khor,,
